Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Table Filter,Ref_group,National Reference,Lower Bound,Upper Bound
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Area,Urban,2015,Estimated,16.2,,viz_area,,Total,12.93,13.8,18.6
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex,Men,2015,Estimated,11.3,,viz_sex,table_total,Total,12.93,8.9,13.6
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex,Women,2015,Estimated,11.9,,viz_sex,table_total,Total,12.93,9.6,14.2
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Men 18-29,2015,Estimated,3.6,,viz_men_age,,Men,8.135,0.5,6.7
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Men 30-49,2015,Estimated,8.8,,viz_men_age,,Men,8.135,5.6,12.1
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Men 50-69,2015,Estimated,27.2,,viz_men_age,,Men,8.135,21.4,33.1
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Men  18-69,2015,Estimated,11.3,,viz_men_age,,Men,8.135,8.9,13.6
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Women 18-29,2015,Estimated,3.3,,viz_women_age,,Women,6.272,0.6,6.3
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Women 30-49,2015,Estimated,8.3,,viz_women_age,,Women,6.272,5.5,11.1
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Women 50-69,2015,Estimated,28.7,,viz_women_age,,Women,6.272,22.6,34.7
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Women  18-69,2015,Estimated,11.9,,viz_women_age,,Women,6.272,9.6,14.2
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,,Men,8.135,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Area,Rural Women,2015,Estimated,,,viz_sex_area,,Women,6.272,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Area,Urban Men,2015,Estimated,,,viz_sex_area,,Men,8.135,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Sex by Area,Urban Women,2015,Estimated,,,viz_sex_area,,Women,6.272,,
Prevalence of self-reported hypertension (measured and diagnosed by a health worker),Measured diagnosed,Total,Total,2015,Estimated,11.6,,viz_total,table_total,,,9.9,13.3
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age,18-29,2015,Estimated,1.5,,viz_age,,Total,2.552,0.4,2.6
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age,30-49,2015,Estimated,5.5,,viz_age,,Total,2.552,4.3,6.7
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age,50-69,2015,Estimated,20.3,,viz_age,,Total,2.552,17.7,22.9
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age, 18-69,2015,Estimated,7.8,,viz_age,,Total,2.552,6.8,8.8
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,,Rural,9.414,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,,Rural,9.414,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,,Rural,9.414,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,,Rural,9.414,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,,Urban,9.949,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,,Urban,9.949,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,,Urban,9.949,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,,Urban,9.949,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Area,Rural,2015,Estimated,4.7,,viz_area,,Total,2.552,4,5.3
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Area,Urban,2015,Estimated,10.9,,viz_area,,Total,2.552,9.5,12.3
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex,Men,2015,Estimated,7.9,,viz_sex,table_total,Total,2.552,6.4,9.3
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex,Women,2015,Estimated,7.7,,viz_sex,table_total,Total,2.552,6.4,8.9
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Men 18-29,2015,Estimated,1.9,,viz_men_age,,Men,12.11,0.2,3.6
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Men 30-49,2015,Estimated,5.4,,viz_men_age,,Men,12.11,3.5,7.3
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Men 50-69,2015,Estimated,21.4,,viz_men_age,,Men,12.11,17.7,25.2
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Men  18-69,2015,Estimated,7.9,,viz_men_age,,Men,12.11,6.4,9.3
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Women 18-29,2015,Estimated,1.1,,viz_women_age,,Women,5.707,0,2.5
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Women 30-49,2015,Estimated,5.6,,viz_women_age,,Women,5.707,3.9,7.2
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Women 50-69,2015,Estimated,19.4,,viz_women_age,,Women,5.707,16,22.7
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Age,Women  18-69,2015,Estimated,7.7,,viz_women_age,,Women,5.707,6.4,8.9
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,,Men,12.11,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Area,Rural Women,2015,Estimated,,,viz_sex_area,,Women,5.707,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Area,Urban Men,2015,Estimated,,,viz_sex_area,,Men,12.11,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Sex by Area,Urban Women,2015,Estimated,,,viz_sex_area,,Women,5.707,,
Prevalence of self-reported hypertension within past 12 months (measured and diagnosed by a health worker),Measured diagnosed,Total,Total,2015,Estimated,7.8,,viz_total,table_total,,,6.8,8.8
